Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
10000,Full Survey,1102065:10:42,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Covering basic expenses (groceries, gas, emergencies);Access to college or training after high school;",Cumberland,No,Yes,Other,,,,Yes,Speaking up or helping spread the word about important issues;Sharing my story or experiences to help others understand;Helping connect people to services or resources;interested in speaking to someone about the CA$H project;,,,,,,,,,,,
10001,ALICE Voices Survey,1101972:37:43,,,Yes,No,Town,,,,,,"Housing costs (e.g., rent, mortgage);Groceries/Food;Childcare or School-Related Expenses;",4102,Yes,Part-time hours (29 or less),It is impossible to afford apartment without the help of a housing voucher,I don’t have the skills or training needed for a better-paying job;,Rental assistance;Help with job training or education;Help with child care or after-school care;Help with food or groceries;,I am 37 now and currently working on getting my Hi-set I hope to continue my education so that I can get a better paying job.,Helping spread the word to others;Sharing ideas about what my community needs;Connecting people I know to helpful programs or services;,More than 10 years,I am actually moving to another state so dont think I could
10002,Full Survey,1102066:19:00,"Food insecurity (hard to afford or access food);Rising cost of basics (like food, utilities, essentials);Mental health challenges ;Housing shortage and affordability (rent, utilities, mortgage, taxes);Limited access to, and affordability of, child care;",York,Yes,No,,,,,No,,,,,,,,,,,,
10003,Full Survey,1102065:10:12,"Paying for housing (rent, utilities, mortgage, taxes);Lack of stable jobs with career growth;Getting to work, school, or appointments (transportation);Child care that is affordable and available;Mental health challenges (like anxiety, depression);",Cumberland,Yes,Yes,Other,,,,Yes,Speaking up or helping spread the word about important issues;,,,,,,,,,,,
10004,Full Survey,1102066:21:00,"Mental health challenges ;Limited access to, and affordability of, child care;Housing shortage and affordability (rent, utilities, mortgage, taxes);Isolation / disconnected community;",Cumberland,Yes,Yes,Other,,,,Yes,Volunteering my time or skills in local programs;Sharing my story or experiences to help others understand;Helping connect people to services or resources;,,,,,,,,,,,
10005,ALICE Interviews,1101972:40:30,,,No,Maybe,,,,,,,"Childcare or School-Related Expenses;Transportation (e.g., car payments, gas, car repairs or public transport);Groceries/Food;",4083,Yes,Full-time hours (40 or more) working for more than one employer,Being a single parent and not getting any help with my kids dad is hard. Theres things my kids need or want and I unable to get that for them. Living paycheck to paycheck and picking which bill or how much to pay is also hard. I used to have a case worker and now I dont, I don’t have affordable child care;I have health issues or a disability;,"Help with transportation (gas, car repair, bus passes, etc.);Help with food or groceries;","I want to be healthier, and comfortable.","I’m not sure yet, but I’d like to learn more;",More than 10 years,"Not at this time, but maybe in the future"
10006,Full Survey,1102065:11:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Feeling isolated or not connected to community;",Cumberland,Yes,No,,,,,No,Not sure yet - I am open to ideas;,,,,,,,,,,,
10007,Full Survey,1102066:28:00,"Limited access to affordable healthcare;Mental health challenges ;Housing shortage and affordability (rent, utilities, mortgage, taxes);",Cumberland,Yes,No,,,,,No,,,,,,,,,,,,
10008,ALICE Voices Survey,1101971:47:29,,,"Maybe, with difficulty",Yes,Town,,,,,,"Housing costs (e.g., rent, mortgage);Utilities (e.g., electricity, water, gas);Groceries/Food;",4005,Yes,Full-time hours (40 or more) working for one employer,Everything has gone up and with only one income I am struggling,I’m not sure what opportunities are available;,Help with food or groceries;Help managing debt or improving credit;Help affording healthcare or mental health support;,My own house is my main goal,"I’m not sure yet, but I’d like to learn more;",More than 10 years,"Yes, any way I can (and CA$H staff can contact me to talk more about options)"
10009,Full Survey,1102065:27:18,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;",York,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
